係	4822928
唔	3884146
有	3855106
人	3543438
一	3415903
都	3089238
個	2926302
好	2888547
我	2869675
的	2857477
到	2407662
會	2211325
你	2173108
大	1917429
佢	1783256
就	1758275
要	1702811
得	1637142
不	1621535
以	1617079
同	1492753
咁	1461139
多	1451886
出	1421776
上	1404228
過	1403962
日	1403387
可	1355420
中	1334483
地	1319177
時	1202031
年	1189514
下	1175288
家	1136414
為	1113816
無	1109638
去	1097319
左	1064861
後	1055613
國	1052250
是	1039876
自	1026995
但	994628
港	979915
在	968754
又	957054
嘅	947980
既	944923
做	942016
用	924102
點	921144
成	914476
真	892362
冇	889727
打	879178
話	870793
睇	860058
開	855138
啦	819999
想	812930
其	812647
前	809466
呢	798727
入	788950
講	785948
幾	785649
先	783627
果	779248
對	768734
最	755482
啲	751739
本	742314
比	739668
行	738092
生	735484
可以	729979
場	725854
手	723706
之	694015
知	688665
心	685885
事	682538
實	681709
定	681150
而	677667
他	675725
香	664249
經	644933
仲	639539
咩	633200
分	628479
主	621969
香港	615090
己	611314
機	607584
如	607171
來	606363
撚	601167
自己	599184
真係	596297
次	594382
意	580197
發	579752
了	577209
能	574941
女	574896
已	572440
問	562740
面	557904
全	557788
法	554662
新	553841
兩	553587
方	551503
今	547102
黎	544481
月	542394
公	540492
學	531615
咪	528829
應	523221
所	515091
加	513752
當	512443
及	509249
見	508273
未	505154
住	504763
間	504504
力	502744
因	501354
明	497026
於	496661
民	496289
動	489751
高	489024
老	487566
者	486453
少	486040
工	486036
都係	485253
買	483396
返	480805
然	477415
現	475193
野	474401
仔	470717
唔係	466444
理	465071
小	464717
再	464328
正	460302
美	459383
食	456452
覺	455772
只	447168
樣	447093
身	446511
頭	443487
一個	441777
位	439768
期	436673
咗	436041
邊	435047
完	428441
名	425181
外	423320
度	422378
解	421316
該	420253
員	416026
埋	413783
作	411782
政	410866
似	408755
和	407930
重	402190
球	402055
部	397687
收	396987
文	395198
死	394172
元	393465
至	392400
三	389915
車	387852
條	385128
被	383717
市	379779
等	378612
起	378597
子	378076
水	375645
緊	372333
警	371312
友	368682
其實	366644
反	366170
表	365907
連	363861
玩	363185
屌	360803
長	357490
巴	356997
電	356526
第	355295
報	353292
天	351873
由	350987
隻	349054
情	345580
班	344491
將	343379
萬	341475
關	340566
放	334923
記	334724
道	334415
呀	333339
金	332754
指	331757
平	331749
數	329458
內	328312
這	327718
相	327265
利	326482
落	326041
錢	325134
隊	324193
已經	323528
十	323336
唔好	322911
如果	320933
覺得	316533
價	315746
算	315279
更	312572
叫	311607
走	308452
合	307851
資	306859
回	306756
題	306039
俾	303140
唔會	303091
業	302873
樓	302787
說	302715
應該	302571
識	301837
與	300712
支	298994
好多	297886
狗	292556
太	291624
口	290497
台	290118
因為	288471
推	288236
通	285397
受	285382
影	284266
線	284042
即	283884
好似	283860
路	282975
諗	282951
士	282633
不過	277277
信	277180
直	276815
二	276534
唔到	272506
星	272254
接	272244
街	271152
波	270668
聽	268628
望	268428
持	268127
單	268000
英	267785
感	266794
近	266597
原	264551
馬	263936
乜	263393
計	263230
認	261412
世	260719
特	259792
也	254978
幫	254671
選	254443
大家	253106
示	252364
轉	251899
們	251605
搵	251129
份	249700
變	249434
依	249052
係咪	248872
男	246730
性	246592
向	246014
交	245111
保	244434
司	243646
足	243184
升	243108
可能	242758
或	242707
代	242276
黑	240538
區	240487
難	240457
夠	239142
股	238040
快	238021
每	237617
問題	237132
安	236873
件	236869
張	235297
立	234627
教	234549
架	233395
所以	233105
體	232422
搞	231518
嚟	231432
氣	230757
戰	228479
任	228462
門	227770
早	227430
常	226511
提	223400
留	220623
進	219970
共	219822
物	219233
半	218069
她	217972
求	217800
西	216756
賽	216438
聯	216235
界	215804
府	215692
令	215620
周	215482
唔知	215379
亦	214754
一定	213371
陣	211140
約	207837
點解	207764
母	207710
低	207235
鐘	206886
中國	206725
強	206536
網	205817
傳	205732
化	204989
喺	204694
有冇	204326
之後	203590
試	203279
四	203278
非	203272
五	203147
集	202655
差	202339
投	202077
別	201987
請	200072
議	199701
目	199671
屋	199616
色	199003
聲	198433
政府	198207
就係	197396
首	196326
基	195109
呢個	195050
沒	195029
愛	194058
洗	193629
始	193563
結	193020
制	192271
師	192048
白	191470
其他	190967
阿	190171
續	189946
海	188819
晚	187659
斯	187587
運	187338
建	186938
