嘅一個,22810
位置喺,14350
係一,13364
係法國嘅一個市鎮,13223
係香港,12689
係日本,10216
係中國,8200
面嘅,6453
年嘅,6283
－,5957
區嘅,5564
其中一,5514
亦係,5135
人同,4863
嘅地,4770
嘅第,4654
係日本足球員,4053
喺香港,4031
之間嘅,3910
人嘅,3595
喺中,3510
上嘅,3343
入面嘅,3266
出嘅,3178
大嘅,3156
無綫電視,3139
名嘅,3074
係大,3067
嘅大,3045
藝人同埋,3023
係日本嘅一個,2927
呢個站,2879
嘅主,2851
咗一,2815
家嘅,2676
嘅中,2672
嘅其中一,2666
а,2611
下嘅,2566
嘅電,2539
香港電,2475
係中國廣東,2464
中嘅,2364
年開始,2333
о,2307
都唔,2298
時嘅,2251
年到,2242
嘅國,2242
到嘅,2235
號開,2218
係種,2204
唔同嘅,2160
係美國,2142
嘅一種,2109
嘅數,2083
有唔,2082
喺中國,2081
州嘅,2059
路嘅,2052
位置喺奧斯坦尼大區嘅,2050
嘅名,2048
係廣,2034
等嘅,2026
嘅方,2024
作嘅,2011
邊嘅,2002
成嘅,2000
過嘅,1982
嘅地方,1960
起好,1917
行嘅,1912
會喺,1895
效力過,1880
數字代表聲調,1848
係拉丁字母同阿剌伯數字串字,1847
加坡,1840
佢同,1832
年出,1832
會嘅,1829
係香港一,1808
市嘅,1773
國國,1771
曾經喺,1726
嘅字,1710
喺大,1690
學嘅,1689
有嘅,1640
後嘅,1638
為佢,1636
性嘅,1636
嘅其中一個,1633
字係,1624
位置喺阿,1612
係介紹,1605
喺一,1603
地嘅,1601
出名嘅,1600
年起,1596
н,1593
嘅行,1583
而呢,1576
屬嘅,1574
嚟做,1574
度嘅,1570
面係,1565
е,1557
喺廣,1553
年嗰陣發生過啲乜事,1546
咗嘅,1544
年喺,1528
站嘅,1524
嘅成,1519
同中,1514
個仔,1514
嘅生,1507
嘅作,1503
條馬路,1502
路同,1500
嘅交,1491
嘅政,1487
и,1483
係第,1466
嘅文,1462
係同之間嘅自然數,1462
立嘅,1459
年之,1452
定嘅,1449
嘅特,1445
數嘅,1433
有幾,1433
喺上,1431
而喺,1424
係因為,1422
嘅車,1418
後喺,1414
嘅新,1408
司職中場,1399
係英國,1392
嘅資,1391
嘅意,1378
嘅工,1368
喺新,1360
號開始,1360
嘅公,1359
嘅機,1358
號綫,1350
號喺,1346
個地,1346
　,1340
期嘅,1340
嘅學,1337
名係,1329
將佢,1326
佢亦,1326
咗個,1314
物嘅,1312
最大嘅,1312
嘅原,1309
р,1306
係中華,1296
嘅法,1287
嘅發,1286
喺北,1286
嘅最,1286
高嘅,1285
號到,1283
係日本嘅一個男,1282
同其他,1281
陣時,1269
化嘅,1266
